來源	代號	名稱	公布日期	處置期間	處置條件	處置措施
TPEX	1591	駿吉-KY	115/05/20	115/05/21~115/06/03	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 25分
TPEX	30165	嘉晶五	115/05/11	115/05/12~115/05/25	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	再次處置 / 20分
TPEX	31351	凌航一	115/05/15	115/05/18~115/05/29	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	再次處置 / 5分
TPEX	31352	凌航二	115/05/15	115/05/18~115/05/29	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	再次處置 / 5分
TPEX	3498	陽程	115/05/18	115/05/19~115/06/01	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分
TPEX	3624	光頡	115/05/20	115/05/21~115/06/03	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分
TPEX	3664	安瑞-KY	115/05/12	115/05/13~115/05/26	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 60分
TPEX	3675	德微	115/05/22	115/05/25~115/06/05	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分
TPEX	4561	健椿	115/05/11	115/05/12~115/05/25	連續5個營業日	再次處置 / 5分
TPEX	49165	事欣科五	115/05/22	115/05/25~115/06/05	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分
TPEX	4966	譜瑞-KY	115/05/14	115/05/15~115/05/28	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分
TPEX	4971	IET-KY	115/05/18	115/05/19~115/06/01	連續5個營業日	再次處置 / 20分
TPEX	4979	華星光	115/05/12	115/05/13~115/05/26	連續5個營業日	再次處置 / 20分
TPEX	49793	華星光三	115/05/12	115/05/13~115/05/26	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	再次處置 / 20分
TPEX	49794	華星光四	115/05/12	115/05/13~115/05/26	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	再次處置 / 20分
TPEX	5228	鈺鎧	115/05/15	115/05/18~115/05/29	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 20分
TPEX	5321	美而快	115/05/22	115/05/25~115/06/05	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分
TPEX	53211	美而快一	115/05/22	115/05/25~115/06/05	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	再次處置 / 5分
TPEX	5464	霖宏	115/05/13	115/05/14~115/05/27	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 20分
TPEX	6173	信昌電	115/05/14	115/05/15~115/05/28	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 20分
TPEX	6182	合晶	115/05/11	115/05/12~115/05/25	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分
TPEX	61827	合晶七	115/05/11	115/05/12~115/05/25	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	再次處置 / 5分
TPEX	61828	合晶八	115/05/11	115/05/12~115/05/25	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分
TPEX	6217	中探針	115/05/19	115/05/20~115/06/02	連續5個營業日	再次處置 / 20分
TPEX	6263	普萊德	115/05/14	115/05/15~115/05/28	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分
TPEX	6488	環球晶	115/05/11	115/05/12~115/05/25	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分
TPEX	6538	倉和	115/05/22	115/05/25~115/06/05	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分
TPEX	65381	倉和一	115/05/22	115/05/25~115/06/05	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	再次處置 / 5分
TPEX	67152	嘉基二	115/05/12	115/05/13~115/05/26	最近10個營業日內有6個營業日	再次處置 / 5分
TPEX	68061	森崴能源一	115/05/20	115/05/21~115/06/03	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	再次處置 / 60分
TPEX	6829	千附精密	115/05/15	115/05/18~115/05/29	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 20分
TPEX	722723	新復興統一58購02	115/05/20	115/05/21~115/06/03	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分
TPEX	72381U	萬潤群益56售01	115/05/22	115/05/25~115/06/05	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 20分
TPEX	724481	正基統一59購02	115/05/20	115/05/21~115/06/03	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 20分
TPEX	725744	新復興統一5A購01	115/05/18	115/05/19~115/06/01	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分
TPEX	76101	聯友金屬一創	115/05/22	115/05/25~115/06/05	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	再次處置 / 20分
TPEX	7751	竑騰	115/05/15	115/05/18~115/05/29	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 20分
TPEX	8027	鈦昇	115/05/22	115/05/25~115/06/05	最近10個營業日內有6個營業日	再次處置 / 20分
