來源	代號	名稱	處置期間	處置條件	處置措施	進處置前收盤	前一日日期	最新收盤	最新日期	漲跌幅	20日均價	20MA起迄
TWSE	3026	禾伸堂	115/05/15～115/05/28	連續三次	第二次處置 / 20分	357.50	115/05/14	523.00	115/05/25	+46.29%	324.95	115/04/27~115/05/25 (20日)
TWSE	2492	華新科	115/05/15～115/05/28	連續三次	第一次處置 / 5分	220.00	115/05/14	321.50	115/05/25	+46.14%	191.65	115/04/27~115/05/25 (20日)
TPEX	6182	合晶	115/05/12~115/05/25	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分	58.60	115/05/11	76.80	115/05/25	+31.06%	53.83	115/04/27~115/05/25 (20日)
TPEX	8358	金居	115/05/15~115/05/28	最近10個營業日內有6個營業日	再次處置 / 20分	427.00	115/05/14	545.00	115/05/25	+27.63%	438.33	115/04/27~115/05/25 (20日)
TPEX	8042	金山電	115/05/14~115/05/27	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 20分	106.00	115/05/13	135.00	115/05/25	+27.36%	91.49	115/04/27~115/05/25 (20日)
TPEX	6173	信昌電	115/05/15~115/05/28	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 20分	172.00	115/05/14	211.50	115/05/25	+22.97%	133.90	115/04/27~115/05/25 (20日)
TWSE	3090	日電貿	115/05/22～115/06/04	連續三次	第一次處置 / 5分	196.00	115/05/21	236.50	115/05/25	+20.66%	135.39	115/04/27~115/05/25 (20日)
TWSE	3665	貿聯-KY	115/05/20～115/06/02	連續三次	第一次處置 / 5分	1990.00	115/05/19	2385.00	115/05/25	+19.85%	2508.50	115/04/27~115/05/25 (20日)
TPEX	5464	霖宏	115/05/14~115/05/27	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 20分	62.00	115/05/13	73.00	115/05/25	+17.74%	52.43	115/04/27~115/05/25 (20日)
TWSE	3008	大立光	115/05/20～115/06/02	連續三次	第一次處置 / 5分	3365.00	115/05/19	3845.00	115/05/25	+14.26%	2928.00	115/04/27~115/05/25 (20日)
TPEX	6829	千附精密	115/05/18~115/05/29	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 20分	198.00	115/05/15	225.50	115/05/25	+13.89%	226.70	115/04/27~115/05/25 (20日)
TWSE	1809	中釉	115/05/13～115/05/26	連續三次	第一次處置 / 5分	40.40	115/05/12	45.65	115/05/25	+13.00%	35.26	115/04/27~115/05/25 (20日)
TPEX	5228	鈺鎧	115/05/18~115/05/29	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 20分	49.15	115/05/15	54.90	115/05/25	+11.70%	42.13	115/04/27~115/05/25 (20日)
TPEX	7751	竑騰	115/05/18~115/05/29	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 20分	1625.00	115/05/15	1810.00	115/05/25	+11.38%	2038.00	115/04/27~115/05/25 (20日)
TPEX	8227	巨有科技	115/05/12~115/05/25	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分	226.00	115/05/11	249.00	115/05/25	+10.18%	195.23	115/04/27~115/05/25 (20日)
TPEX	3498	陽程	115/05/19~115/06/01	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分	144.50	115/05/18	159.00	115/05/25	+10.03%	116.26	115/04/27~115/05/25 (20日)
TWSE	6834	天二科技	115/05/25～115/06/05	連續三次	第一次處置 / 5分	70.50	115/05/22	77.50	115/05/25	+9.93%	48.73	115/04/27~115/05/25 (20日)
TPEX	5321	美而快	115/05/25~115/06/05	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分	38.90	115/05/22	42.75	115/05/25	+9.90%	26.13	115/04/27~115/05/25 (20日)
TWSE	2911	麗嬰房	115/05/25～115/06/05	連續三次	第一次處置 / 5分	8.69	115/05/22	9.55	115/05/25	+9.90%	5.92	115/04/27~115/05/25 (20日)
TPEX	8291	尚茂	115/05/25~115/06/05	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 25分	91.10	115/05/22	100.00	115/05/25	+9.77%	47.12	115/04/27~115/05/25 (20日)
TWSE	6831	邁科	115/05/15～115/05/28	連續三次	第一次處置 / 5分	722.00	115/05/14	792.00	115/05/25	+9.70%	622.58	115/04/27~115/05/25 (20日)
TPEX	1591	駿吉-KY	115/05/21~115/06/03	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 25分	38.20	115/05/20	41.55	115/05/25	+8.77%	55.08	115/04/27~115/05/25 (20日)
TWSE	6449	鈺邦	115/05/22～115/06/04	連續三次	第二次處置 / 20分	295.00	115/05/21	320.00	115/05/25	+8.47%	216.23	115/04/27~115/05/25 (20日)
TWSE	8114	振樺電	115/05/15～115/05/28	連續三次	第一次處置 / 5分	240.00	115/05/14	260.00	115/05/25	+8.33%	211.30	115/04/27~115/05/25 (20日)
TPEX	6217	中探針	115/05/20~115/06/02	連續5個營業日	再次處置 / 20分	265.50	115/05/19	285.50	115/05/25	+7.53%	283.00	115/04/27~115/05/25 (20日)
TWSE	3450	聯鈞	115/05/13～115/05/26	連續三次	第一次處置 / 5分	470.50	115/05/12	501.00	115/05/25	+6.48%	390.63	115/04/27~115/05/25 (20日)
TPEX	3675	德微	115/05/25~115/06/05	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分	319.50	115/05/22	334.00	115/05/25	+4.54%	253.15	115/04/27~115/05/25 (20日)
TPEX	3624	光頡	115/05/21~115/06/03	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分	90.00	115/05/20	94.00	115/05/25	+4.44%	68.63	115/04/27~115/05/25 (20日)
TPEX	4971	IET-KY	115/05/19~115/06/01	連續5個營業日	再次處置 / 20分	716.00	115/05/18	745.00	115/05/25	+4.05%	743.70	115/04/27~115/05/25 (20日)
TPEX	8069	元太	115/05/15~115/05/28	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分	226.00	115/05/14	235.00	115/05/25	+3.98%	184.15	115/04/27~115/05/25 (20日)
TPEX	8091	翔名	115/05/20~115/06/02	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分	263.50	115/05/19	273.50	115/05/25	+3.80%	214.58	115/04/27~115/05/25 (20日)
TWSE	3016	嘉晶	115/05/12～115/05/25	連續三次	第二次處置 / 20分	128.50	115/05/11	133.00	115/05/25	+3.50%	108.13	115/04/27~115/05/25 (20日)
TPEX	6538	倉和	115/05/25~115/06/05	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分	127.50	115/05/22	131.50	115/05/25	+3.14%	88.95	115/04/27~115/05/25 (20日)
TWSE	7769	鴻勁	115/05/14～115/05/27	連續三次	第一次處置 / 5分	7440.00	115/05/13	7645.00	115/05/25	+2.76%	6349.25	115/04/27~115/05/25 (20日)
TPEX	8027	鈦昇	115/05/25~115/06/05	最近10個營業日內有6個營業日	再次處置 / 20分	244.50	115/05/22	250.50	115/05/25	+2.45%	221.88	115/04/27~115/05/25 (20日)
TWSE	6924	榮惠-KY創	115/05/20～115/06/02	連續三次	第一次處置 / 5分	159.50	115/05/19	162.00	115/05/25	+1.57%	118.65	115/04/27~115/05/25 (20日)
TPEX	6263	普萊德	115/05/15~115/05/28	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分	182.00	115/05/14	184.00	115/05/25	+1.10%	160.75	115/04/27~115/05/25 (20日)
TPEX	4561	健椿	115/05/12~115/05/25	連續5個營業日	再次處置 / 5分	51.60	115/05/11	51.80	115/05/25	+0.39%	45.71	115/04/27~115/05/25 (20日)
TWSE	7610	聯友金屬-創	115/05/25～115/06/05	連續三次	第二次處置 / 20分	1250.00	115/05/22	1250.00	115/05/25	+0.00%	865.95	115/04/27~115/05/25 (20日)
TPEX	4966	譜瑞-KY	115/05/15~115/05/28	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分	819.00	115/05/14	818.00	115/05/25	-0.12%	695.15	115/04/27~115/05/25 (20日)
TPEX	4979	華星光	115/05/13~115/05/26	連續5個營業日	再次處置 / 20分	659.00	115/05/12	655.00	115/05/25	-0.61%	614.55	115/04/27~115/05/25 (20日)
TWSE	3135	凌航	115/05/18～115/05/29	連續五次	第一次處置 / 5分	216.00	115/05/15	213.50	115/05/25	-1.16%	183.23	115/04/27~115/05/25 (20日)
TWSE	6742	澤米	115/05/25～115/06/05	連續三次	第一次處置 / 5分	61.50	115/05/22	59.50	115/05/25	-3.25%	44.91	115/04/27~115/05/25 (20日)
TWSE	3653	健策	115/05/13～115/05/26	連續三次	第二次處置 / 20分	3920.00	115/05/12	3770.00	115/05/25	-3.83%	4054.50	115/04/27~115/05/25 (20日)
TPEX	6488	環球晶	115/05/12~115/05/25	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分	835.00	115/05/11	788.00	115/05/25	-5.63%	698.95	115/04/27~115/05/25 (20日)
TPEX	8455	大拓-KY	115/05/21~115/06/03	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分	43.65	115/05/20	41.05	115/05/25	-5.96%	30.44	115/04/27~115/05/25 (20日)
TWSE	911608	明輝-DR	115/05/13～115/05/26	連續五次	第一次處置 / 5分	2.84	115/05/12	2.64	115/05/25	-7.04%	2.74	115/04/27~115/05/25 (20日)
TWSE	2059	川湖	115/05/13～115/05/26	連續三次	第一次處置 / 5分	5445.00	115/05/12	4980.00	115/05/25	-8.54%	4676.50	115/04/27~115/05/25 (20日)
TPEX	3664	安瑞-KY	115/05/13~115/05/26	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 60分	9.44	115/05/12	8.24	115/05/25	-12.71%	7.66	115/04/27~115/05/25 (20日)
TWSE	6806	森崴能源	115/05/21～115/06/03	連續三次	人工管制撮合 / 60分	11.40	115/05/20	8.35	115/05/25	-26.75%	17.73	115/04/24~115/05/25 (20日)
TPEX	8444	綠河-KY	115/05/18~115/05/29	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 25分	9.02	115/05/15	6.50	115/05/25	-27.94%	6.82	115/04/27~115/05/25 (20日)
