來源	公布日期	證券代號	名稱	累計	處置條件	處置期間	處置措施
TPEX	115/07/27	6217	中探針	2	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/28~115/08/10	再次處置 / 20分
TPEX	115/07/27	76101	聯友金屬一創	2	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/28~115/08/10	再次處置 / 5分
TWSE	115/07/24	067647	國巨凱基5B購07	1	連續三次	115/07/27～115/08/07	第一次處置 / 5分
TWSE	115/07/24	074860	台積電統一63購02	1	連續三次	115/07/27～115/08/07	第一次處置 / 5分
TPEX	115/07/24	49231	力士一	3	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/27~115/08/07	再次處置 / 20分
TWSE	115/07/24	7610	聯友金屬-創	8	連續三次	115/07/27～115/08/07	第二次處置 / 20分
TPEX	115/07/24	76101	聯友金屬一創	3	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/07/27~115/08/07	再次處置 / 20分
TWSE	115/07/24	8033	雷虎	4	連續五次	115/07/27～115/08/07	第二次處置 / 20分
TPEX	115/07/24	8291	尚茂	3	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/27~115/08/07	再次處置 / 25分
TWSE	115/07/24	911608	明輝-DR	3	最近十個營業日已有六次	115/07/27～115/08/07	第二次處置 / 20分
TWSE	115/07/23	3167	大量	9	最近三十個營業日已有十二次	115/07/24～115/08/06	第二次處置 / 20分
TPEX	115/07/23	31672	大量二	5	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/07/24~115/08/06	再次處置 / 20分
TPEX	115/07/23	4139	馬光-KY	5	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/24~115/08/06	再次處置 / 20分
TPEX	115/07/23	6182	合晶	5	連續3個營業日及沖銷標準	115/07/24~115/08/10	再次處置 / 5分
TPEX	115/07/23	61827	合晶七	5	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/07/24~115/08/10	再次處置 / 5分
TPEX	115/07/23	61828	合晶八	5	連續3個營業日及沖銷標準	115/07/24~115/08/10	再次處置 / 20分
TWSE	115/07/22	050307	亞航國泰57購01	1	連續三次	115/07/23～115/08/05	第一次處置 / 5分
TPEX	115/07/22	6217	中探針	2	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/23~115/08/05	再次處置 / 20分
TWSE	115/07/22	8028	昇陽半導體	1	連續五次	115/07/23～115/08/05	第一次處置 / 5分
TPEX	115/07/22	80282	昇陽半導體二	2	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/07/23~115/08/05	再次處置 / 5分
TWSE	115/07/21	2483	百容	2	連續三次	115/07/22～115/08/04	第二次處置 / 20分
TWSE	115/07/21	3026	禾伸堂	7	連續三次	115/07/22～115/08/04	第二次處置 / 20分
TPEX	115/07/21	3288	點晶	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/22~115/08/04	再次處置 / 5分
TPEX	115/07/21	3624	光頡	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/22~115/08/04	再次處置 / 20分
TPEX	115/07/21	3675	德微	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/22~115/08/04	再次處置 / 20分
TPEX	115/07/21	6173	信昌電	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/22~115/08/04	再次處置 / 20分
TPEX	115/07/21	6683	雍智科技	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/22~115/08/04	再次處置 / 20分
TPEX	115/07/21	6727	亞泰金屬	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/22~115/08/04	再次處置 / 5分
TPEX	115/07/21	707085	頎邦統一66購01	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/22~115/08/04	再次處置 / 5分
TWSE	115/07/20	2492	華新科	7	連續三次	115/07/21～115/08/03	第二次處置 / 20分
