來源	代號	名稱	處置期間	處置條件	處置措施	公告前一日收盤	前一日日期	今日(5/25)收盤	漲跌幅	20日均價	20MA起迄
TWSE	8021	尖點	115/05/26～115/06/08	最近十個營業日已有六次	第二次處置 / 20分	422.00	115/05/22	464.00	+9.95%	419.75	115/04/27~115/05/25 (20日)
TWSE	2327	國巨*	115/05/26～115/06/08	連續三次	第一次處置 / 5分	629.00	115/05/22	691.00	+9.86%	430.93	115/04/27~115/05/25 (20日)
TWSE	3026	禾伸堂	115/05/26～115/06/08	連續三次	第二次處置 / 20分	476.50	115/05/22	523.00	+9.76%	324.95	115/04/27~115/05/25 (20日)
TPEX	3491	昇達科	115/05/26~115/06/08	最近30個營業日內有12個營業日	再次處置 / 5分	1930.00	115/05/22	2090.00	+8.29%	1724.50	115/04/27~115/05/25 (20日)
TWSE	3167	大量	115/05/26～115/06/08	連續五次	第二次處置 / 20分	831.00	115/05/22	879.00	+5.78%	771.70	115/04/27~115/05/25 (20日)
TWSE	4916	事欣科	115/05/26～115/06/08	連續三次	第一次處置 / 5分	98.30	115/05/22	101.50	+3.26%	72.26	115/04/27~115/05/25 (20日)
TWSE	4722	國精化	115/05/26～115/06/08	最近十個營業日已有六次	第一次處置 / 5分	286.50	115/05/22	284.00	-0.87%	229.40	115/04/27~115/05/25 (20日)
TWSE	2478	大毅	115/05/26～115/06/08	連續三次	第一次處置 / 5分	127.50	115/05/22	120.00	-5.88%	85.86	115/04/27~115/05/25 (20日)
TWSE	6806	森崴能源	115/05/26～115/06/08	連續三次	人工管制撮合 / 60分	9.27	115/05/22	8.35	-9.92%	17.73	115/04/24~115/05/25 (20日)
TWSE	2424	隴華	115/05/26～115/06/08	連續三次	人工管制撮合 / 10分	14.60	115/05/22	13.15	-9.93%	20.10	115/04/27~115/05/25 (20日)
