來源	代號	名稱	細產業	次產業	處置期間	處置條件	處置措施	進處置前收盤	前一日日期	最新收盤	最新日期	當日漲跌幅	漲跌幅	20日均價	20MA乖離率	20MA起迄
TPEX	2061	風青	電器電纜	(未分類)	115/06/24~115/07/07	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 20分	58.00	115/06/23	80.10	115/07/06	+7.95%	+38.10%	54.39	+47.26%	115/06/08~115/07/06 (20日)
TWSE	2233	宇隆	汽車工業	(未分類)	115/06/30～115/07/13	連續三次	第一次處置 / 5分	193.00	115/06/29	264.50	115/07/06	-3.82%	+37.05%	270.38	-2.17%	115/06/08~115/07/06 (20日)
TWSE	2483	百容	電子零組件	(未分類)	115/06/30～115/07/13	連續三次	第一次處置 / 5分	55.70	115/06/29	69.90	115/07/06	+4.17%	+25.49%	46.29	+51.00%	115/06/08~115/07/06 (20日)
TWSE	1303	南亞	塑膠工業	(未分類)	115/06/24～115/07/07	連續三次	第一次處置 / 5分	154.50	115/06/23	185.00	115/07/06	-6.09%	+19.74%	141.92	+30.36%	115/06/08~115/07/06 (20日)
TWSE	8033	雷虎	其他	(未分類)	115/07/03～115/07/16	最近十個營業日已有六次	第一次處置 / 5分	186.00	115/07/02	222.00	115/07/06	+8.56%	+19.35%	149.10	+48.89%	115/06/08~115/07/06 (20日)
TWSE	2481	強茂	半導體業	(未分類)	115/06/26～115/07/09	連續三次	第一次處置 / 5分	192.00	115/06/25	227.50	115/07/06	+9.90%	+18.49%	171.13	+32.94%	115/06/08~115/07/06 (20日)
TPEX	6693	廣閎科	半導體業	(未分類)	115/06/24~115/07/07	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分	236.50	115/06/23	276.50	115/07/06	+9.94%	+16.91%	212.85	+29.90%	115/06/08~115/07/06 (20日)
TWSE	6226	光鼎	光電業	(未分類)	115/06/30～115/07/13	連續三次	第一次處置 / 5分	20.05	115/06/29	23.10	115/07/06	-3.75%	+15.21%	16.39	+40.98%	115/06/08~115/07/06 (20日)
TWSE	2305	全友	電腦及週邊設備	(未分類)	115/06/24～115/07/07	連續三次	第一次處置 / 5分	37.10	115/06/23	42.65	115/07/06	+9.92%	+14.96%	32.80	+30.03%	115/06/08~115/07/06 (20日)
TPEX	5425	台半	半導體業	(未分類)	115/06/26~115/07/09	連續5個營業日	再次處置 / 5分	127.00	115/06/25	144.00	115/07/06	+9.92%	+13.39%	114.41	+25.87%	115/06/08~115/07/06 (20日)
TPEX	8096	擎亞	電子通路	(未分類)	115/06/24~115/07/07	最近10個營業日內有6個營業日	再次處置 / 5分	150.50	115/06/23	167.50	115/07/06	+6.35%	+11.30%	145.23	+15.34%	115/06/08~115/07/06 (20日)
TPEX	3230	錦明	光電業	(未分類)	115/07/01~115/07/14	因連續3個營業日達本中心作業要點第四條第一項第一款	第一次處置 / 5分	46.45	115/06/30	51.00	115/07/06	-1.16%	+9.80%	36.74	+38.83%	115/06/08~115/07/06 (20日)
TWSE	1617	榮星	電器電纜	(未分類)	115/07/06～115/07/17	連續三次	第一次處置 / 5分	24.50	115/07/03	26.70	115/07/06	+8.98%	+8.98%	18.24	+46.36%	115/06/08~115/07/06 (20日)
TPEX	3675	德微	半導體業	半導體-IC設計	115/06/25~115/07/08	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 20分	413.00	115/06/24	450.00	115/07/06	+7.78%	+8.96%	365.18	+23.23%	115/06/08~115/07/06 (20日)
TPEX	6620	漢達	生技醫療	(未分類)	115/06/26~115/07/09	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分	98.80	115/06/25	107.50	115/07/06	+4.88%	+8.81%	85.97	+25.04%	115/06/08~115/07/06 (20日)
TWSE	1435	中福	其他	(未分類)	115/06/30～115/07/13	連續三次	第一次處置 / 5分	24.90	115/06/29	26.80	115/07/06	-9.92%	+7.63%	23.38	+14.63%	115/06/18~115/07/06 (12日)
TWSE	7795	長廣	電子零組件	(未分類)	115/07/06～115/07/17	連續三次	第一次處置 / 5分	626.00	115/07/03	666.00	115/07/06	+6.39%	+6.39%	457.98	+45.42%	115/06/08~115/07/06 (20日)
TWSE	7610	聯友金屬-創	綠能環保	鋰電池正極材料	115/06/24～115/07/07	連續三次	第二次處置 / 20分	2415.00	115/06/23	2545.00	115/07/06	-0.20%	+5.38%	2127.50	+19.62%	115/06/08~115/07/06 (20日)
